"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","W","L","T","CS","ShA","ShA","GA","GAIB","GAOB","Sv","Sv%","SvIB","SvOB","YC","SYC","RC","RCR","FC","FC/G","FS","FS/G","Pen","DP","PKGA","PKS","PKF","PKD","SubOn","SubOff","G","A","ASh","ABS","AFKG","AHW","AOG","APL","APKG","ASOP","Pa","APa","SFTP","Int","IntB","ClA","ClS","OO","DW","DL","AW","AL","HCA","HCS","Sm","Pu","GON"
"1","G","Krul, Tim - NEW","FA","LEIC Sat 3:00PM","199","199","1","1","90","0","0","1","1","20","8","0","0","0","8","100.0","3","5","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36","15","3","0","0","1","1","0","0","1","0","0","1","1","0","1","0"
"2","G","Pantilimon, Costel - SUN","FA","@CRY Mon 8:00PM","193.89","193.89","1","1","90","0","0","1","0","20","9","1","1","0","8","88.9","3","5","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","16","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"3","G","Guzan, Brad - AVL","FA","@EVE Sat 3:00PM","188.67","188.67","1","1","90","0","1","0","0","16","6","2","2","0","4","66.7","3","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","15","2","0","0","1","1","0","0","0","0","0","4","4","0","1","0"
"4","G","Mignolet, Simon - LIV","FA","@MCI Sat 5:30PM","188","188","1","1","90","0","0","1","1","19","5","0","0","0","5","100.0","2","3","1","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","16","5","0","0","3","2","0","0","0","0","0","1","1","0","2","0"
"5","G","Butland, Jack - STK","FA","@SOU Sat 3:00PM","179.86","179.86","1","1","90","0","0","1","0","20","7","1","1","0","6","85.7","5","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","G","Randolph, Darren - WHU","FA","@TOT Sun 4:00PM","179.43","179.43","1","1","90","0","1","0","0","15","7","4","4","0","3","42.9","2","1","0","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","32","7","2","0","0","1","1","0","1","0","1","0","1","1","1","0","0"
"7","G","Courtois, Thibaut - CHE","FA","NOR Sat 3:00PM","177.67","177.67","1","1","90","1","0","0","0","15","6","2","2","0","4","66.7","2","2","0","0","0","0","0","0.0","0","0.0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","27","9","2","0","0","2","2","0","0","0","0","0","3","3","0","1","0"
"8","G","Howard, Tim - EVE","FA","AVL Sat 3:00PM","175.78","175.78","1","1","90","0","1","0","0","16","9","2","2","0","7","77.8","4","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","14","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"9","G","Myhill, Boaz - WBA","FA","ARS Sat 3:00PM","174.4","174.4","1","1","90","0","1","0","0","15","5","3","3","0","2","40.0","0","2","0","0","0","0","0","0.0","1","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","17","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10","G","Gomes, Heurelho - WAT","FA","MUN Sat 12:45PM","174","174","1","1","90","0","0","1","1","14","4","0","0","0","5","100.0","4","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","14","0","0","0","1","1","0","2","0","2","0","2","2","1","1","0"
"11","G","Schmeichel, Kasper - LEIC","FA","@NEW Sat 3:00PM","171.83","171.83","1","1","90","0","0","1","0","19","6","1","1","0","5","83.3","2","3","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","G","Cech, Petr - ARS","FA","@WBA Sat 3:00PM","170","170","1","1","90","0","0","1","1","15","8","0","0","0","8","100.0","6","2","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","9","0","0","0","1","1","0","0","0","0","0","2","1","0","1","0"
"13","G","Boruc, Artur - BOUR","FA","@SWA Sat 3:00PM","161.25","161.25","1","1","90","1","0","0","0","10","4","3","3","0","1","25.0","1","0","1","0","0","0","0","0.0","0","0.0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","24","10","1","0","0","1","1","0","0","0","0","0","3","1","1","1","0"
"14","G","Fabianski, Lukasz - SWA","FA","BOUR Sat 3:00PM","159.5","159.5","1","1","90","0","0","1","0","10","2","1","1","0","1","50.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","16","1","0","0","0","0","0","0","0","0","0","3","3","0","0","0"
"15","G","McCarthy, Alex - CRY","WW","SUN Mon 8:00PM","155.67","155.67","1","1","90","1","0","0","0","12","3","1","1","0","2","66.7","2","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","11","2","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"16","G","Stekelenburg, Maarten - SOU","FA","STK Sat 3:00PM","147","147","1","1","90","0","0","1","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","14","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","G","Lloris, Hugo - TOT","FA","WHU Sun 4:00PM","140.5","140.5","1","1","90","0","0","1","0","13","2","1","1","0","1","50.0","1","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","14","8","2","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"18","G","Ruddy, John - NOR","FA","@CHE Sat 3:00PM","140","140","1","1","90","0","0","1","0","6","1","1","1","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","12","0","0","0","1","1","0","0","0","0","0","1","1","0","1","0"
"19","G","Hart, Joe - MCI","FA","LIV Sat 5:30PM","132","132","1","1","90","1","0","0","1","10","1","0","0","0","1","100.0","0","1","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","2","0","0","0","2","2","0","0","0","0","0","0","0","0","2","0"
"20","G","Romero, Sergio - MUN","WW","@WAT Sat 12:45PM","127","127","1","1","90","0","0","1","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","8","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"21","G","Allsop, Ryan - BOUR","FA","@SWA Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","G","Amelia, Marco - CHE","WW","NOR Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","G","Arlauskis, Giedrius - WAT","FA","MUN Sat 12:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","G","Begovic, Asmir - CHE","FA","NOR Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","G","Blackman, Jamal - CHE","FA","NOR Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","G","Bogdan, Adam - LIV","FA","@MCI Sat 5:30PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","G","Bunn, Mark - AVL","FA","@EVE Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","G","Caballero, Willy - MCI","FA","LIV Sat 5:30PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","G","Darlow, Karl - NEW","FA","LEIC Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","G","Davis, Kelvin - SOU","FA","STK Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","G","Elliot, Robert - NEW","FA","LEIC Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","G","Federici, Adam - BOUR","FA","@SWA Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","G","Forster, Fraser - SOU","FA","STK Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","G","Foster, Ben - WBA","FA","ARS Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","G","Fulton, Ryan - LIV","WW","@MCI Sat 5:30PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","G","Gazzaniga, Paulo - SOU","FA","STK Sat 3:00PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","G","Gilmartin, Rene - WAT","FA","MUN Sat 12:45PM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
