"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"1","D","Sagna, Bacary - MCI","FA","EVE Wed 7:45PM","393.86","393.86","1","1","90","0","1","3","0","0","0","0","0","1","1","0","24","1","0","0","0","0","0","0","0","0","77","66","85.7","22","8","0","8","0","0","4","2","0","6","1","7","5","1","1","0","1","0","6","6","4","3","0","0","0","0","0","26","0","0","0","0","0","0","0","2","8","8","0","0","1","0"
"2","M","Oscar - CHE","FA","WBA Wed 7:45PM","390.24","390.24","1","1","82","1","0","1","5","2","0.4","0","2","4","3","0","22","1","1","0","0","0","0","0","0","0","80","67","83.8","31","3","1","2","0","0","0","0","0","0","0","1","1","8","6","0","0","0","11","9","0","0","0","1","1","0","0","22","0","1","1","1","0","0","0","1","0","10","0","1","0","0"
"3","D","Federico Fernández - SWA","FA","SUN Wed 7:45PM","382.89","382.89","1","1","90","0","0","1","2","0","0.0","0","1","2","2","0","12","1","1","0","0","0","0","0","0","0","97","86","88.7","10","0","0","0","0","0","0","1","0","1","0","6","5","0","0","0","0","1","9","4","6","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","11","11","1","0","0","1"
"4","M,F","De Bruyne, Kevin - MCI","WW","EVE Wed 7:45PM","382.12","382.12","1","1","90","0","0","5","3","1","0.3","0","1","2","2","0","33","2","0","0","0","0","0","0","0","0","61","48","78.7","26","13","1","12","7","2","2","0","0","1","0","0","0","4","2","0","0","0","5","10","1","1","0","0","0","0","0","33","0","0","0","0","0","0","0","2","0","8","0","0","1","0"
"5","M","Young, Ashley - MUN","FA","@NEW Tue 7:45PM","371.82","371.82","1","1","90","0","0","0","0","0","0","0","0","3","1","0","25","0","2","0","0","0","0","0","0","0","77","63","81.8","20","12","3","9","0","0","2","0","0","2","0","1","0","2","2","0","0","0","8","4","1","1","0","0","0","0","0","26","0","0","0","0","0","0","0","2","6","6","0","0","1","0"
"6","M","Yaya Touré - MCI","FA","EVE Wed 7:45PM","369.17","369.17","1","1","90","1","0","3","4","1","0.3","0","0","1","0","0","14","1","1","0","0","0","0","0","0","0","90","83","92.2","27","1","0","1","0","0","0","0","0","2","0","0","0","2","1","0","0","0","4","7","1","2","0","0","0","0","0","14","0","0","0","0","0","0","0","2","0","8","0","0","1","0"
"7","D","Williams, Ashley - SWA","FA","SUN Wed 7:45PM","368.87","368.87","1","1","90","0","0","1","1","0","0.0","0","0","4","3","0","12","0","0","0","0","0","0","0","0","0","90","78","86.7","5","0","0","0","0","0","0","4","0","2","0","6","5","2","2","0","1","2","9","3","3","3","0","0","0","0","0","13","0","0","0","0","0","0","0","0","11","11","1","0","0","1"
"8","M","Britton, Leon - SWA","FA","SUN Wed 7:45PM","364.86","364.86","1","1","90","0","0","1","1","0","0.0","0","1","3","0","0","17","1","0","0","0","0","0","0","0","0","98","84","85.7","15","0","0","0","0","0","0","0","0","5","1","0","0","2","2","0","0","0","7","2","2","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","11","1","0","0","1"
"9","M","Barry, Gareth - EVE","FA","@MCI Wed 7:45PM","363.72","363.72","1","1","90","0","0","0","1","0","0.0","0","1","4","4","0","27","2","2","0","0","0","0","0","0","0","85","61","71.8","11","0","0","0","0","0","0","0","0","2","0","2","2","0","0","0","0","0","11","7","6","2","0","0","0","0","0","27","0","0","0","0","0","0","0","3","0","10","0","0","1","0"
"10","M","Mata, Juan - MUN","FA","@NEW Tue 7:45PM","358.87","358.87","1","1","90","0","0","3","1","1","1.0","0","0","0","0","0","21","1","1","0","0","0","0","0","0","0","76","66","86.8","31","8","1","7","3","0","1","0","1","3","0","0","0","1","1","0","0","0","2","4","0","1","1","0","0","0","0","21","0","0","0","0","0","0","0","2","0","6","0","0","1","0"
