"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Cazorla, Santiago - ARS","FA","@NOR Sun 4:15PM","398.14","398.14","1","1","90","0","1","7","4","1","0.3","0","2","1","0","0","16","2","1","0","0","0","0","0","0","1","83","74","89.2","31","7","5","2","6","2","0","0","2","1","0","0","6","4","0","1","0","6","9","0","1","3","0","0","0","0","16","0","0","0","0","0","0","0","0","0","8","1","1","0","0","0"
"2","D","Francis, Simon - BOUR","FA","EVE Sat 3:00PM","370.85","370.85","1","1","90","0","1","3","0","0","0","0","0","3","3","0","21","3","0","1","0","0","0","0","0","0","79","67","84.8","14","5","2","3","0","0","0","0","1","0","3","2","1","0","0","0","0","4","10","1","4","0","0","0","0","0","22","0","0","0","0","0","0","0","3","12","12","0","0","1","0","1"
"3","M","Schweinsteiger, Bastian - MUN","WW","@LEIC Sat 5:30PM","355.86","355.86","1","1","90","0","0","0","0","0","0","0","0","4","4","0","18","0","1","0","0","0","0","0","0","0","86","74","86.0","16","1","0","1","0","0","0","0","3","0","2","2","3","3","0","0","0","10","4","2","1","0","0","0","0","0","18","0","0","0","0","0","0","0","1","0","8","0","1","0","0","0"
"4","D","Fonte, Jose - SOU","FA","@MCI Sat 3:00PM","349.86","349.86","1","1","90","0","0","0","0","0","0","0","0","3","2","0","13","0","1","0","0","0","0","0","0","0","88","76","86.4","8","0","0","0","0","0","0","0","1","0","7","6","0","0","0","0","2","6","3","2","3","0","0","0","0","0","14","0","0","0","0","0","0","0","0","8","8","1","0","0","1","1"
"5","M","Özil, Mesut - ARS","FA","@NOR Sun 4:15PM","345.89","345.89","1","1","84","0","1","8","1","1","1.0","0","0","0","0","0","19","1","1","1","0","0","0","0","0","1","64","57","89.1","31","9","2","7","7","4","0","0","1","0","0","0","2","1","0","0","0","2","5","0","1","1","1","0","0","0","19","0","1","0","0","0","0","0","0","0","7","1","1","0","0","0"
"6","M","Davis, Steven - SOU","FA","@MCI Sat 3:00PM","336.88","336.88","1","1","90","0","0","5","0","0","0","0","0","2","2","0","15","0","0","0","0","0","0","0","0","0","76","67","88.2","28","4","1","3","0","0","0","0","1","0","2","2","0","0","0","0","0","4","4","2","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","8","1","0","0","1","0"
"7","D","Amavi, Jordan - AVL","WW","WAT Sat 3:00PM","332.71","332.71","1","1","90","0","0","0","0","0","0","0","0","8","6","0","21","3","1","1","0","0","0","0","0","0","45","32","71.1","5","2","0","2","0","1","0","0","5","1","2","1","5","1","0","0","0","12","16","2","4","0","0","0","0","0","22","0","0","0","0","0","0","0","3","21","21","0","0","1","0","0"
"8","M","Hazard, Eden - CHE","FA","@TOT Sun 12:00PM","330.89","330.89","1","1","90","0","0","4","2","0","0.0","0","1","1","1","0","15","0","1","0","0","0","0","0","0","0","65","58","89.2","35","1","1","0","0","1","0","0","0","0","0","0","6","1","0","0","0","3","9","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","3","0","14","0","0","1","0","0"
"9","M","Mahrez, Riyad - LEIC","FA","MUN Sat 5:30PM","328.31","328.31","1","1","90","0","2","4","4","2","0.5","0","0","2","0","0","24","0","2","0","0","0","0","0","0","0","36","29","80.6","17","4","1","3","2","1","0","0","1","0","0","0","16","12","0","0","0","18","12","2","3","0","0","0","0","0","24","0","0","0","0","0","0","0","2","0","11","0","1","0","0","0"
"10","D","Koscielny, Laurent - ARS","FA","@NOR Sun 4:15PM","324.9","324.9","1","1","90","0","0","2","2","2","1.0","0","0","2","2","0","10","0","1","0","0","0","0","0","0","0","81","73","90.1","5","0","0","0","0","2","0","0","7","0","1","1","0","0","0","0","0","5","1","2","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","8","8","1","1","0","0","0"
"11","M","Tadic, Dusan - SOU","FA","@MCI Sat 3:00PM","322.87","322.87","1","1","90","0","0","4","1","0","0.0","0","1","0","0","0","28","0","1","0","0","0","0","0","0","0","45","39","86.7","21","15","1","14","2","2","0","0","1","0","0","0","4","1","0","0","0","2","7","0","2","1","0","0","0","0","28","0","0","0","0","0","0","0","0","0","8","1","0","0","1","0"
"12","D","Ivanovic, Branislav - CHE","FA","@TOT Sun 12:00PM","318.93","318.93","1","1","90","0","0","1","1","0","0.0","0","1","2","1","0","18","2","2","0","0","0","0","0","0","0","54","50","92.6","11","11","1","10","0","2","0","0","1","0","1","1","1","0","0","0","0","4","4","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","3","14","14","0","0","1","0","1"
"13","M","Fàbregas, Cesc - CHE","FA","@TOT Sun 12:00PM","316.88","316.88","1","1","74","0","0","3","0","0","0","0","0","0","0","0","14","0","1","0","0","0","0","0","0","1","68","60","88.2","26","10","4","6","9","2","0","0","1","0","0","0","0","0","0","0","0","1","4","0","1","0","0","0","0","0","14","0","1","0","0","0","0","0","2","0","11","0","0","1","0","0"
"14","D","Gabriel Paulista - ARS","FA","@NOR Sun 4:15PM","316.88","316.88","1","1","90","0","0","0","0","0","0","0","0","1","1","0","11","0","0","0","0","0","0","0","0","0","82","72","87.8","3","0","0","0","0","0","0","0","3","0","4","2","0","0","0","0","0","4","2","3","2","0","0","0","0","0","13","0","0","0","0","0","0","0","0","8","8","1","1","0","0","0"
"15","M","Payet, Dimitri - WHU","FA","WBA Sun 2:05PM","316.52","316.52","1","1","90","2","0","7","3","2","0.7","0","0","2","2","0","20","0","1","0","0","0","0","0","0","0","40","34","85.0","17","9","2","7","6","2","0","0","5","0","0","0","4","2","0","0","0","5","5","0","0","0","0","1","0","0","20","0","0","0","0","0","0","0","0","0","14","1","1","0","0","1"
"16","M","Mason, Ryan - TOT","FA","CHE Sun 12:00PM","316.48","316.48","1","1","85","1","0","2","3","2","0.7","0","0","3","2","0","15","1","1","0","0","0","0","0","0","0","69","56","81.2","20","2","0","2","0","1","0","0","0","0","0","0","1","1","0","0","1","6","2","1","1","0","0","1","0","0","15","0","1","0","0","0","0","0","0","0","12","1","1","0","0","0"
