"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"1","M","Silva, David - MCI","FA","LIV Sat 5:30PM","419.2","419.2","1","1","90","1","1","4","4","1","0.3","0","2","1","1","0","13","1","4","0","0","0","0","0","0","0","95","90","94.7","45","6","1","5","3","1","0","0","0","0","0","0","2","2","0","0","0","8","5","1","1","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0"
"2","D","Kolarov, Aleksandar - MCI","FA","LIV Sat 5:30PM","382.18","382.18","1","1","90","0","0","3","3","1","0.3","0","1","0","0","0","15","0","3","0","0","0","0","0","0","0","85","72","84.7","27","3","2","1","0","2","0","2","2","0","4","2","2","2","0","0","1","7","2","3","1","0","0","0","0","0","17","0","0","0","0","0","0","0","0","9","9","1","1","0","0","3"
"3","M","Cazorla, Santiago - ARS","FA","@WBA Sat 3:00PM","360.43","360.43","1","1","90","0","0","5","2","1","0.5","0","0","2","2","0","14","0","1","0","0","0","0","0","0","0","76","71","93.4","32","5","1","4","1","0","0","0","1","0","1","1","5","3","0","0","0","7","5","1","1","0","0","0","0","0","14","0","0","0","0","0","0","0","2","0","8","0","0","1","0","0"
"4","M","Surman, Andrew - BOUR","FA","@SWA Sat 3:00PM","356.89","356.89","1","1","90","0","0","4","2","0","0.0","0","0","1","0","0","12","0","1","0","0","0","0","0","0","0","99","88","88.9","23","1","0","1","0","0","0","0","2","0","1","1","0","0","0","0","0","2","2","1","2","0","0","0","0","0","12","0","0","0","0","0","0","0","1","0","7","0","0","1","0","0"
"5","M","Özil, Mesut - ARS","FA","@WBA Sat 3:00PM","355.88","355.88","1","1","90","0","0","4","2","0","0.0","0","2","2","2","0","16","3","0","0","0","0","0","0","0","0","73","64","87.7","37","5","3","2","3","2","0","1","1","0","0","0","1","0","0","0","0","2","9","0","2","0","0","0","0","0","16","0","0","0","0","0","0","0","2","0","8","0","0","1","0","0"
"6","D","Francis, Simon - BOUR","FA","@SWA Sat 3:00PM","352.87","352.87","1","1","90","0","0","2","0","0","0","0","0","4","1","0","18","0","1","0","0","0","0","0","0","0","79","69","87.3","14","8","2","6","0","2","0","0","1","0","2","2","1","1","0","0","0","7","4","1","2","0","0","0","0","0","18","0","0","0","0","0","0","0","1","7","7","0","0","1","0","0"
"7","D","Kaboul, Younes - SUN","FA","@CRY Mon 8:00PM","351.74","351.74","1","1","90","0","0","0","1","1","1.0","0","0","3","3","0","23","1","1","1","0","0","0","0","0","0","69","51","73.9","1","1","0","1","0","0","0","0","1","0","4","4","0","0","0","0","2","11","5","7","3","0","0","0","0","0","23","0","0","0","0","0","0","0","4","20","20","0","0","1","0","2"
"8","M","Fernandinho - MCI","FA","LIV Sat 5:30PM","348.93","348.93","1","1","90","0","0","1","0","0","0","0","0","2","2","0","8","4","0","1","0","0","0","0","0","0","97","90","92.8","15","0","0","0","0","0","0","0","1","0","3","2","0","0","0","0","0","3","5","1","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0"
"9","D","Haidara, Massadio - NEW","FA","LEIC Sat 3:00PM","348.81","348.81","1","1","90","0","0","1","0","0","0","0","0","2","2","0","26","0","3","0","0","0","0","0","0","0","59","48","81.4","13","7","2","5","0","0","0","0","3","0","4","2","2","1","0","0","1","7","7","1","2","0","0","0","0","0","28","0","0","0","0","0","0","0","2","14","14","0","0","0","1","2"
"10","D","Monreal, Nacho - ARS","FA","@WBA Sat 3:00PM","341.88","341.88","1","1","90","0","0","0","0","0","0","0","0","1","0","0","14","1","2","1","0","0","0","0","0","0","65","57","87.7","24","5","0","5","0","0","0","0","0","0","4","3","2","2","0","1","1","11","7","6","5","0","0","0","0","0","15","0","0","0","0","0","0","0","2","8","8","0","0","1","0","1"
