"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","M","Leiva, Lucas - LIV","FA","ARS Wed 8:00PM","91","91","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","1.0","90.0","0","0","0","0","0","0","0"
"2","F","Long, Shane - SOU","FA","WAT Wed 7:45PM","41","41","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","2.0","2.0","3.0","1.0","0","6","0","4.0","4.0","0","0","0","0","0","1","0"
"3","F","Diego Costa - CHE","FA","WBA Wed 7:45PM","36","36","2.0","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","2.0","2.0","3.0","3.0","0","6","0","0.0","0.0","0","0","2","0","0","0","0"
"4","F","Benteke, Christian - LIV","FA","ARS Wed 8:00PM","34.31","34.31","1.7","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.7","3.0","5.2","2.0","3.5","2.0","2.0","0","2","0","3.0","5.2","0","0","0","0","0","0","0"
"5","F","Bojan - STK","FA","NOR Wed 7:45PM","32","32","1.0","1.0","0.0","0.0","1","0","0","0","0","0","0","0","1","1.0","1.0","5.0","5.0","2.0","2.0","2.0","4.0","0","5","0","0.0","0.0","0","0","0","0","0","1","0"
"6","M","Tadic, Dusan - SOU","FA","WAT Wed 7:45PM","29.68","29.68","0.0","0.0","1.0","4.7","0","0","0","0","0","0","0","0","1","1.0","4.7","2.0","9.5","1.0","4.7","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"7","F","Bony, Wilfried - MCI","FA","EVE Wed 7:45PM","28","28","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","6.0","6.0","2.0","2.0","1.0","2.0","0","1","0","1.0","1.0","0","0","1","0","0","0","0"
"8","M,F","De Bruyne, Kevin - MCI","WW","EVE Wed 7:45PM","27","27","1.0","1.0","2.0","2.0","0","0","0","0","0","0","0","0","3","3.0","3.0","3.0","3.0","2.0","2.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"9","F","Gestede, Rudy - AVL","WW","CRY Tue 7:45PM","27","27","0.0","0.0","0.0","0.0","0","0","0","0","0","1","0","0","0","0.0","0.0","5.0","5.0","3.0","3.0","3.0","1.0","0","3","0","1.0","1.0","0","0","1","0","0","0","0"
"10","M","Dele Alli - TOT","FA","LEIC Wed 8:00PM","26.25","26.25","0.0","0.0","1.0","1.1","0","0","0","0","0","0","0","0","1","1.0","1.1","4.0","4.6","3.0","3.4","0.0","5.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
