"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","G/90M","G/G","A/G","A/90M","ABS","AFKG","AHW","AOG","APL","APKG","AR","ASOP","Pts","Pt/G","Pt/90M","Sh/G","Sh/90M","ShG/G","ShG/90M","FC/G","FS/G","RCR","DPt","6S","Off/G","Off/90M","HT","GAD","GAF","GAM","CSD","CSF","CSM"
"1","M","Mahrez, Riyad - LEIC","FA","@NEW Sat 3:00PM","36.19","36.19","2.3","2.0","0.0","0.0","0","0","0","0","0","0","0","0","2","2.0","2.3","6.0","7.0","3.0","3.5","0.0","4.0","0","0","0","0.0","0.0","0","0","0","2","0","0","0"
"2","F","Gomis, Bafétimbi - SWA","FA","BOUR Sat 3:00PM","35.81","35.81","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","5.0","5.7","2.0","2.3","1.0","3.0","0","1","0","4.0","4.6","0","0","2","0","0","0","0"
"3","F","Koné, Arouna - EVE","FA","AVL Sat 3:00PM","35.33","35.33","3.3","1.0","1.0","3.3","0","0","0","0","0","0","0","0","2","2.0","6.7","2.0","6.7","1.0","3.3","1.0","0.0","0","1","0","0.0","0.0","0","0","1","0","0","0","0"
"4","F","Vardy, Jamie - LEIC","FA","@NEW Sat 3:00PM","34.98","34.98","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","5.0","5.5","3.0","3.3","3.0","2.0","0","6","0","0.0","0.0","0","0","2","0","0","0","0"
"5","F","Ighalo, Odion - WAT","FA","MUN Sat 12:45PM","31.5","31.5","5.6","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","5.6","1.0","5.6","1.0","5.6","1.0","0.0","0","1","0","0.0","0.0","0","0","2","0","0","0","0"
"6","F","Sánchez, Alexis - ARS","FA","@WBA Sat 3:00PM","28.57","28.57","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","11.7","2.0","7.8","2.0","0.0","0","2","0","0.0","0.0","0","0","0","0","0","0","0"
"7","M","Albrighton, Marc - LEIC","FA","@NEW Sat 3:00PM","28","28","1.0","1.0","2.0","2.0","0","0","0","0","0","0","0","0","3","3.0","3.0","2.0","2.0","1.0","1.0","1.0","3.0","0","1","0","0.0","0.0","0","0","0","2","0","0","0"
"8","M","Silva, David - MCI","FA","LIV Sat 5:30PM","27","27","1.0","1.0","1.0","1.0","0","0","0","0","0","0","0","0","2","2.0","2.0","4.0","4.0","1.0","1.0","1.0","4.0","0","1","0","0.0","0.0","0","0","0","0","0","0","1"
"9","F","Defoe, Jermain - SUN","FA","@CRY Mon 8:00PM","25","25","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","2.0","2.0","1.0","2.0","0","1","0","1.0","1.0","0","0","4","0","0","0","0"
"10","F","Long, Shane - SOU","FA","STK Sat 3:00PM","25","25","3.6","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","3.6","2.0","7.2","1.0","3.6","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"11","M","Ayew, André - SWA","FA","BOUR Sat 3:00PM","24","24","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","3.0","3.0","1.0","3.0","0","1","0","0.0","0.0","0","0","0","2","0","0","0"
"12","F","Gestede, Rudy - AVL","WW","@EVE Sat 3:00PM","23.52","23.52","2.9","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","2.9","2.0","5.8","1.0","2.9","1.0","1.0","0","1","0","0.0","0.0","0","0","0","0","0","0","0"
"13","F","Lukaku, Romelu - EVE","FA","AVL Sat 3:00PM","23.09","23.09","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","0","1","0","3.0","3.0","0","0","2","0","0","0","0"
"14","D","Cédric Soares - SOU","FA","STK Sat 3:00PM","23","23","0.0","0.0","1.0","2.0","0","0","0","0","0","0","0","0","1","1.0","2.0","1.0","2.0","1.0","2.0","3.0","0.0","0","6","0","0.0","0.0","0","1","0","0","0","0","0"
"15","M","Barkley, Ross - EVE","FA","AVL Sat 3:00PM","23","23","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","4.0","4.0","2.0","2.0","1.0","2.0","0","1","0","0.0","0.0","0","0","0","2","0","0","0"
"16","F","Deeney, Troy - WAT","FA","MUN Sat 12:45PM","23","23","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","1.0","1.0","0","4","0","1.0","1.0","0","0","2","0","0","0","0"
"17","F","Giroud, Olivier - ARS","FA","@WBA Sat 3:00PM","23","23","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","5.0","5.0","2.0","2.0","2.0","1.0","0","2","0","1.0","1.0","0","0","2","0","0","0","0"
"18","M","Wijnaldum, Georginio - NEW","FA","LEIC Sat 3:00PM","20.56","20.56","1.1","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.1","2.0","2.2","1.0","1.1","2.0","3.0","0","2","0","0.0","0.0","0","0","0","2","0","0","0"
"19","F","Murray, Glenn - BOUR","FA","@SWA Sat 3:00PM","20.29","20.29","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.1","1.0","1.1","6.0","1.0","0","6","0","1.0","1.1","0","0","1","0","0","0","0"
"20","F","Fletcher, Steven - SUN","FA","@CRY Mon 8:00PM","20","20","1.5","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.5","3.0","4.5","1.0","1.5","1.0","1.0","0","1","0","0.0","0.0","0","0","1","0","0","0","0"
"21","F","Pellè, Graziano - SOU","FA","STK Sat 3:00PM","20","20","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","1.0","1.0","1.0","0.0","0","4","0","1.0","1.0","0","0","2","0","0","0","0"
"22","M","Redmond, Nathan - NOR","FA","@CHE Sat 3:00PM","20","20","2.5","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","2.5","1.0","2.5","1.0","2.5","2.0","0.0","0","2","0","0.0","0.0","0","0","0","1","0","0","0"
"23","M","Yaya Touré - MCI","FA","LIV Sat 5:30PM","19.88","19.88","1.1","1.0","1.0","1.1","0","0","0","0","0","0","0","0","2","2.0","2.3","2.0","2.3","1.0","1.1","1.0","0.0","0","1","0","0.0","0.0","0","0","0","0","0","0","1"
"24","M","Cabaye, Yohan - CRY","FA","SUN Mon 8:00PM","19","19","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","2.0","2.0","2.0","2.0","2.0","1.0","0","2","0","0.0","0.0","0","0","0","1","0","0","0"
"25","M","Gardner, Craig - WBA","FA","ARS Sat 3:00PM","19","19","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","0.0","0.0","3.0","3.0","0","6","0","0.0","0.0","0","0","0","3","0","0","0"
"26","F","King, Joshua - BOUR","FA","@SWA Sat 3:00PM","18.4","18.4","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","3.4","0.0","0.0","4.0","2.0","0","7","0","0.0","0.0","0","0","0","0","0","0","0"
"27","M","Oscar - CHE","FA","NOR Sat 3:00PM","18.33","18.33","1.7","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.7","2.0","3.3","1.0","1.7","0.0","3.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"28","F","Zárate, Mauro - WHU","FA","@TOT Sun 4:00PM","18.14","18.14","1.4","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.4","2.0","2.9","1.0","1.4","1.0","2.0","0","1","0","0.0","0.0","0","0","0","0","0","1","0"
"29","D","Coates, Sebastián - SUN","FA","@CRY Mon 8:00PM","18","18","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","1.0","0","8","0","0.0","0.0","0","4","0","0","0","0","0"
"30","M","Gueye, Idrissa - AVL","FA","@EVE Sat 3:00PM","18","18","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","4.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"31","M","Tadic, Dusan - SOU","FA","STK Sat 3:00PM","18","18","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","0.0","0.0","2.0","1.0","0","2","0","0.0","0.0","0","0","0","2","0","0","0"
"32","F","Jerome, Cameron - NOR","FA","@CHE Sat 3:00PM","17.5","17.5","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","2.5","0.0","0.0","3.0","0.0","0","3","0","2.0","5.0","0","0","1","0","0","0","0"
"33","F","Cissé, Papiss Demba - NEW","FA","LEIC Sat 3:00PM","17.4","17.4","1.2","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.2","3.0","3.6","2.0","2.4","0.0","0.0","0","0","0","0.0","0.0","0","0","1","0","0","0","0"
"34","M","Tettey, Alexander - NOR","FA","@CHE Sat 3:00PM","17.33","17.33","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","3.3","0.0","0.0","3.0","1.0","0","6","0","0.0","0.0","0","0","0","2","0","0","0"
"35","M","Mané, Sadio - SOU","FA","STK Sat 3:00PM","17","17","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","0.0","0.0","1.0","3.0","0","1","0","2.0","2.0","0","0","0","2","0","0","0"
"36","F","Falcao - CHE","FA","NOR Sat 3:00PM","16","16","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","15.0","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"37","M","Zaha, Wilfried - CRY","FA","SUN Mon 8:00PM","16","16","1.3","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.3","1.0","1.3","1.0","1.3","1.0","3.0","0","1","0","0.0","0.0","0","0","0","1","0","0","0"
"38","M","Brady, Robbie - NOR","WW","@CHE Sat 3:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","1.0","1.0","1.0","2.0","0","1","0","0.0","0.0","0","3","0","0","0","0","0"
"39","M","Coutinho, Philippe - LIV","FA","@MCI Sat 5:30PM","15","15","1.0","1.0","0.0","0.0","0","0","0","0","0","0","0","0","1","1.0","1.0","3.0","3.0","1.0","1.0","0.0","1.0","0","0","0","0.0","0.0","0","0","0","0","0","0","1"
"40","M","Mata, Juan - MUN","FA","@WAT Sat 12:45PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","0.0","0.0","1.0","3.0","0","4","0","0.0","0.0","0","0","0","0","0","0","1"
"41","M","Mutch, Jordon - CRY","FA","SUN Mon 8:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.5","1.0","1.3","2.0","1.0","0","2","0","1.0","1.3","0","0","1","0","0","0","0"
"42","M","Rodwell, Jack - SUN","FA","@CRY Mon 8:00PM","15","15","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","1.0","1.0","2.0","0.0","0","5","0","0.0","0.0","0","0","0","4","0","0","0"
"43","F","Bony, Wilfried - MCI","FA","LIV Sat 5:30PM","14.14","14.14","0.0","0.0","1.0","1.4","0","0","0","0","0","0","0","0","1","1.0","1.4","3.0","4.3","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","1","0"
"44","F","Diouf, Mame Biram - STK","FA","@SOU Sat 3:00PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","5.0","0","1","0","1.0","1.0","0","0","1","0","0","0","0"
"45","M","Eriksen, Christian - TOT","FA","WHU Sun 4:00PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","2.0","2.0","0.0","3.0","0","0","0","0.0","0.0","0","0","0","1","0","0","0"
"46","M","Hoolahan, Wes - NOR","FA","@CHE Sat 3:00PM","14","14","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","0.0","0.0","0.0","0.0","0.0","6.0","0","0","0","0.0","0.0","0","0","0","3","0","0","0"
"47","M","Johnson, Adam - SUN","FA","@CRY Mon 8:00PM","14","14","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","1.0","1.0","0.0","0.0","0.0","3.0","0","0","0","0.0","0.0","0","0","0","4","0","0","0"
"48","D","Jones, Billy - SUN","FA","@CRY Mon 8:00PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0","7","0","0.0","0.0","0","3","0","0","0","0","0"
"49","D","Kaboul, Younes - SUN","FA","@CRY Mon 8:00PM","14","14","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0","4","0","0.0","0.0","0","4","0","0","0","0","0"
"50","F","Lens, Jeremain - SUN","WW","@CRY Mon 8:00PM","14","14","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","1.0","1.0","0.0","0.0","0.0","3.0","0","0","0","0.0","0.0","0","0","0","4","0","0","0"
"51","D","Souaré, Pape - CRY","FA","SUN Mon 8:00PM","14","14","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","0.0","0.0","0.0","0.0","2.0","4.0","0","2","0","0.0","0.0","0","1","0","0","0","0","0"
"52","F","Grabban, Lewis - NOR","FA","@CHE Sat 3:00PM","13.67","13.67","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","3.3","1.0","1.7","0.0","1.0","0","0","0","1.0","1.7","0","0","2","0","0","0","0"
"53","F","Lambert, Rickie - WBA","FA","ARS Sat 3:00PM","13.65","13.65","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.4","0.0","0.0","1.0","2.0","0","1","0","1.0","1.2","0","0","3","0","0","0","0"
"54","M","Ibe, Jordon - LIV","FA","@MCI Sat 5:30PM","13.31","13.31","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.2","0.0","0.0","3.0","2.0","0","3","0","1.0","1.2","0","0","0","0","0","0","1"
"55","F","Anichebe, Victor - WBA","FA","ARS Sat 3:00PM","13.25","13.25","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","5.6","1.0","5.6","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"56","M","Gosling, Dan - BOUR","FA","@SWA Sat 3:00PM","13.07","13.07","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.1","0.0","0.0","3.0","1.0","0","6","0","0.0","0.0","0","0","0","1","0","0","0"
"57","F","Agüero, Sergio - MCI","FA","LIV Sat 5:30PM","13","13","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","6.7","1.0","3.3","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
"58","F","Diego Costa - CHE","FA","NOR Sat 3:00PM","13","13","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","0","1","0","2.0","2.0","0","0","2","0","0","0","0"
"59","D","Gomez, Joseph - LIV","FA","@MCI Sat 5:30PM","13","13","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0","5","0","0.0","0.0","0","0","0","0","1","0","0"
"60","M","Hazard, Eden - CHE","FA","NOR Sat 3:00PM","13","13","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","1.0","1.0","1.0","2.0","3.0","0","2","0","0.0","0.0","0","0","0","2","0","0","0"
"61","M","McArthur, James - CRY","FA","SUN Mon 8:00PM","13","13","0.0","0.0","1.0","1.0","0","0","0","0","0","0","0","0","1","1.0","1.0","0.0","0.0","0.0","0.0","3.0","1.0","0","3","0","0.0","0.0","0","0","0","1","0","0","0"
"62","M","Schneiderlin, Morgan - MUN","FA","@WAT Sat 12:45PM","13","13","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","2.0","0","5","0","0.0","0.0","0","0","0","0","0","0","1"
"63","M","Sigurdsson, Gylfi - SWA","FA","BOUR Sat 3:00PM","13","13","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","3.0","3.0","1.0","1.0","1.0","1.0","0","1","0","0.0","0.0","0","0","0","2","0","0","0"
"64","F","Wilson, Callum - BOUR","FA","@SWA Sat 3:00PM","13","13","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","2.0","2.0","1.0","1.0","2.0","2.0","0","2","0","0.0","0.0","0","0","1","0","0","0","0"
"65","M","Ki Sung-yueng - SWA","FA","BOUR Sat 3:00PM","12.39","12.39","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","2.2","1.0","2.2","2.0","0.0","0","2","0","0.0","0.0","0","0","0","2","0","0","0"
"66","F","Wickham, Connor - CRY","FA","SUN Mon 8:00PM","12.25","12.25","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0.0","0.0","1.0","11.3","0.0","0.0","0.0","0.0","0","0","0","0.0","0.0","0","0","0","0","0","0","0"
