"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G"
"1","G","Pantilimon, Costel - SUN","FA","@CRY Mon 8:00PM","2189.73","182.48"
"2","G","Butland, Jack - STK","FA","@SOU Sat 3:00PM","2125.64","177.14"
"3","G","Ruddy, John - NOR","FA","@CHE Sat 3:00PM","2103.72","175.31"
"4","G","Gomes, Heurelho - WAT","FA","MUN Sat 12:45PM","2085.67","173.81"
"5","G","Guzan, Brad - AVL","FA","@EVE Sat 3:00PM","2079.88","173.32"
"6","G","Fabianski, Lukasz - SWA","FA","BOUR Sat 3:00PM","2047.34","170.61"
"7","G","Howard, Tim - EVE","FA","AVL Sat 3:00PM","2023.81","168.65"
"8","G","Myhill, Boaz - WBA","FA","ARS Sat 3:00PM","2021.7","168.48"
"9","G","Schmeichel, Kasper - LEIC","FA","@NEW Sat 3:00PM","1979.66","164.97"
"10","G","Mignolet, Simon - LIV","FA","@MCI Sat 5:30PM","1966.82","163.9"
"11","G","Cech, Petr - ARS","FA","@WBA Sat 3:00PM","1958.23","163.19"
"12","G","Lloris, Hugo - TOT","FA","WHU Sun 4:00PM","1902.17","172.86"
"13","G","Stekelenburg, Maarten - SOU","FA","STK Sat 3:00PM","1743.67","158.46"
"14","G","Hart, Joe - MCI","FA","LIV Sat 5:30PM","1619.75","147.2"
"15","G","Begovic, Asmir - CHE","FA","NOR Sat 3:00PM","1527.76","152.66"
"16","G","Krul, Tim - NEW","FA","LEIC Sat 3:00PM","1511.85","188.78"
"17","G","Adrián - WHU","FA","@TOT Sun 4:00PM","1508.55","167.46"
"18","G","Boruc, Artur - BOUR","FA","@SWA Sat 3:00PM","1390.71","154.39"
"19","G","de Gea, David - MUN","FA","@WAT Sat 12:45PM","1251.82","156.23"
"20","G","McCarthy, Alex - CRY","WW","SUN Mon 8:00PM","1083.75","180.23"
"21","G","Hennessey, Wayne - CRY","FA","SUN Mon 8:00PM","992.67","165.06"
"22","G","Elliot, Robert - NEW","FA","LEIC Sat 3:00PM","694.6","173.22"
"23","G","Romero, Sergio - MUN","WW","@WAT Sat 12:45PM","633.5","157.96"
"24","G","Randolph, Darren - WHU","FA","@TOT Sun 4:00PM","497.43","165.2"
"25","G","Federici, Adam - BOUR","FA","@SWA Sat 3:00PM","474.55","158.05"
"26","G","Courtois, Thibaut - CHE","FA","NOR Sat 3:00PM","438.02","145.5"
"27","G","Vorm, Michel - TOT","FA","WHU Sun 4:00PM","198.5","198.04"
"28","G","Davis, Kelvin - SOU","FA","STK Sat 3:00PM","181.71","181.06"
"29","G","Caballero, Willy - MCI","FA","LIV Sat 5:30PM","181.5","181.04"
"30","F","Vardy, Jamie - LEIC","FA","@NEW Sat 3:00PM","12","1"
"31","F","Ighalo, Odion - WAT","FA","MUN Sat 12:45PM","7","0.58"
"32","F","Lukaku, Romelu - EVE","FA","AVL Sat 3:00PM","7","0.58"
"33","M","Mahrez, Riyad - LEIC","FA","@NEW Sat 3:00PM","7","0.64"
"34","F","Agüero, Sergio - MCI","FA","LIV Sat 5:30PM","6","0.75"
"35","F","Giroud, Olivier - ARS","FA","@WBA Sat 3:00PM","6","0.5"
"36","F","Kane, Harry - TOT","FA","WHU Sun 4:00PM","6","0.5"
"37","F","Pellè, Graziano - SOU","FA","STK Sat 3:00PM","6","0.5"
"38","F","Sánchez, Alexis - ARS","FA","@WBA Sat 3:00PM","6","0.5"
"39","M","Wijnaldum, Georginio - NEW","FA","LEIC Sat 3:00PM","6","0.5"
"40","M","Ayew, André - SWA","FA","BOUR Sat 3:00PM","5","0.42"
"41","F","Koné, Arouna - EVE","FA","AVL Sat 3:00PM","5","0.42"
"42","M","Payet, Dimitri - WHU","FA","@TOT Sun 4:00PM","5","0.42"
"43","F","Wilson, Callum - BOUR","FA","@SWA Sat 3:00PM","5","0.71"
"44","F","Benteke, Christian - LIV","FA","@MCI Sat 5:30PM","4","0.44"
"45","M","Cabaye, Yohan - CRY","FA","SUN Mon 8:00PM","4","0.33"
"46","M","Coutinho, Philippe - LIV","FA","@MCI Sat 5:30PM","4","0.36"
"47","F","Fletcher, Steven - SUN","FA","@CRY Mon 8:00PM","4","0.36"
"48","F","Gomis, Bafétimbi - SWA","FA","BOUR Sat 3:00PM","4","0.33"
"49","M","Mata, Juan - MUN","FA","@WAT Sat 12:45PM","4","0.33"
"50","M","Redmond, Nathan - NOR","FA","@CHE Sat 3:00PM","4","0.36"
"51","F","Sterling, Raheem - MCI","FA","LIV Sat 5:30PM","4","0.36"
"52","F","Arnautovic, Marko - STK","FA","@SOU Sat 3:00PM","3","0.27"
"53","M","Barkley, Ross - EVE","FA","AVL Sat 3:00PM","3","0.25"
