,Abbrev,Full Name,Description
0,6S,6 Second Violations,6 Second Violations
1,ACr,Accurate Crosses,"An accurate pass from a wide position (via corners, open plays and set pieces) into a specific area in front of the goal. The pass must be touched next by a teammate of the crossing player."
2,APa,Accurate Passes,All accurate passes (excluding crosses)
3,AL,Aerials Lost,Unsuccessful aerial duels (the definition of an aerial duel is that it is between two players - either both jumping or only one jumping and the other contesting the header by making it difficult to win - and one player has to win the contest with a header OR if it is between an outfield player and a goalkeeper then the goalkeeper is allowed to punch it clear)
4,AW,Aerials Won,Successful aerial duels (the definition of an aerial duel is that it is between two players - either both jumping or only one jumping and the other contesting the header by making it difficult to win - and one player has to win the contest with a header OR if it is between an outfield player and a goalkeeper then the goalkeeper is allowed to punch it clear)
5,A,Assists,"An official assist, as tracked by the official Premier League site. Fantasy assists (e.g. assists from rebounds) do not count."
6,AF,Assists (Fantasy),"Fantasy (not official Premier League) assists. These assists include ones from blocked shots, free kick goals, handballs won, own goal, passes lost, penalty kick goals, rebounds and shots off the post."
7,A/90M,Assists Per 90 Minutes,Assists Per 90 Minutes
8,A/G,Assists Per Game,Assists Per Game
9,ABS,Assists from Blocked Shots,A shot blocked by a defender and scored on the rebound.
10,AFKG,Assists from Free Kick Goals,A foul won that leads to a direct free kick scored.
11,AHW,Assists from Handballs Won,A player forces a handball which results in a free kick scored.
12,AOG,Assists from Own Goal,"A player shoots or passes, forcing a defender to put the ball in his own goal."
13,APL,Assists from Passes Lost,A heavily deflected pass.
14,APKG,Assists from Penalty Kick Goals,An assist assigned to a player who wins a penalty which is taken and scored by a teammate.
15,AR,Assists from Rebounds,A shot saved by the goalkeeper but scored on the rebound.
16,ASOP,Assists from Shots Off Post,A shot that hits the post and is scored on the rebound.
17,ASh,Assists on Shots,Player assists a shot (including goals)
18,BCC,Big Chances Created,Passes which led to a clear cut scoring opportunity. This can only be the last pass before a shot or missed attempt.
19,BCM,Big Chances Missed,Clear cut scoring opportunities which were not converted/scored.
20,BCS,Big Chances Scored,Goals scored which were a clear cut chance
21,BCr,Blocked Crosses,A cross blocked by the defender
22,BS,Blocked Shots,"Any goal attempt heading roughly on target toward goal which is blocked by a defender, where there are other defenders or a goalkeeper behind the blocker."
23,CS,Clean Sheets,Awarded to a player who played at least 60 minutes and whose team gave up 0 goals that game.
24,CSD,Clean Sheets for Defenders,Awarded to a defender who played at least 60 minutes and whose team gave up 0 goals that game.
25,CSF,Clean Sheets for Forwards,Awarded to a forward who played at least 60 minutes and whose team gave up 0 goals that game.
26,CSM,Clean Sheets for Midfielders,Awarded to a midfielder who played at least 60 minutes and whose team gave up 0 goals that game.
27,CS,Clean Sheets for Outfielders,Awarded to an outfielder who played at least 60 minutes and whose team gave up 0 goals that game.
28,ClA,Clearances Attempted,Total number of clearances attempted
29,ClS,Clearances Succeeded,Successful defensive clearance - where player under pressure kicks the ball clear of the defensive zone and/or out of play
30,CoA,Contests Attempted,"A dribble past a player attempted (contests always involve 2 players) - doesn't include ""overrun"" situations where the attacking player takes on an opponent but the ball runs away from them out of play or to an opponent"
31,CoS,Contests Succeeded,Total dribbles where a player beats an opponent - no overruns
32,CSLM,Contests Succeeded (Last Man),Player successfully beats the last man in a dribble
33,CK,Corner Kicks,Total corners taken (including short corners)
34,CC,Corners Conceded,Total corners conceded by the defensive player/team
35,CF,Corners Forced,Total corners forced by the offensive player/team
36,CIB,Corners In Box,Accurate corner distributions into the box - can include long balls if the corner kick is passed greater than 35 yards
37,Cr,Crosses,Total crosses attempted
38,CF,Crosses Failed,Crosses Attempted - Accurate Crosses
39,DP,Dangerous Plays,Foul for play which could cause serious injury to an opponent
40,DPt,Discipline Points,Fouls + (3 x Yellow Cards) + (6 x Red Cards)
41,DL,Duels Lost,"Duel over the possession of the ball where a player loses the ball - doesn't include ""overrun"" situations where the attacking player takes on an opponent but the ball runs away from them out of play or to an opponent."
42,DW,Duels Won,"Duel over the possession of the ball where a player wins the ball - doesn't include ""overrun"" situations where the attacking player takes on an opponent but the ball runs away from them out of play or to an opponent."
43,FC,Fouls Committed,Fouls Committed
44,FC/G,Fouls Committed Per Game,Fouls Committed Per Game
45,FS,Fouls Suffered,Fouls Suffered
46,FS/G,Fouls Suffered Per Game,Fouls Suffered Per Game
47,FKG,Free Kick Goals,Goal from a direct free kick
48,FKM,Free Kick Misses,Miss from a direct free kick
49,FKS,Free Kick Shots,Total shots from direct free kicks
50,GP,Games Played,Games Played
51,GS,Games Started,Games Started
52,G,Goals,Goals
53,GA,Goals Against,Goals Against
54,GAA,Goals Against Average,Average Goals Against per Game
55,GAD,Goals Against Defenders,Goals conceded by the team while the defender was on the field
56,GAF,Goals Against Forwards,Goals conceded by the team while the forward was on the field
57,GAIB,Goals Against Inside Box,Goal against from a shot inside the box
58,GAM,Goals Against Midfielders,Goals conceded by the team while the midfielder was on the field
59,GA,Goals Against Outfielders,Goals conceded by the team while the player was on the field
60,GAOB,Goals Against Outside Box,Goal against from a shot outside the box
61,GON,Goals On Own Net,Goals scored on own net
62,G/90M,Goals Per 90 Minutes,Goals Per 90 Minutes
63,G/G,Goals Per Game,Goals Per Game
