Team,Name,6S,A,A/90M,A/G,ABS,ACr,AFKG,AHW,AL,AOG,APKG,APL,APa,AR,ASOP,ASh,AW,BCC,BCM,BCS,BCr,BS,CC,CF,CF.1,CIB,CK,CS,CSD,CSF,CSLM,CSM,ClA,ClS,CoA,CoS,Cr,DL,DP,DPt,DW,FC,FC/G,FKG,FKM,FKS,FS,FS/G,G,G/90M,G/G,GA,GAD,GAF,GAIB,GAM,GAOB,GON,GP,GS,HB,HCA,HCS,HT,Int,IntB,L,Min,OO,Off,Off/90M,Off/G,PKA,PKD,PKF,PKG,PKGA,PKM,PKS,PL,PLC,Pa,Pc%,Pen,Player,Pos,Pt/90M,Pt/G,Pts,Pu,RC,RCR,SA,SB,SFTP,SOG,SOP,SYC,Sh,Sh/90M,Sh/G,ShA,ShA.1,ShG/90M,ShG/G,Sm,Sta,SubOff,SubOn,Sv,Sv%,SvIB,SvOB,T,TLM,Tk,TkW,W,YC
MCI,Fernandinho,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,120,0.0,0,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.0,3,0,0.0,7,0,0.0,0.0,0.0,0.0,3,3.0,0,0.0,0.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,0,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,7.0,7.0,125,96.0,0,Fernandinho - MCI,M,0.0,0.0,0.0,,0,0,0.0,0.0,51,0.0,0.0,0,0.0,0.0,0.0,0,5,0.0,0.0,,FA,0,0,,,,,0,0.0,3.0,1.0,1,0
EVE,"Barkley, Ross",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,101,0.0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,3.0,0,0,0.0,5,0,0.0,0.0,0.0,0.0,3,3.0,0,0.0,0.0,2,0.0,0.0,,2.0,,0,1,1,0.0,,,0.0,1,0,0,90,,2.0,2.0,2.0,0.0,0,,0.0,,0.0,,12.0,12.0,107,94.4,0,"Barkley, Ross - EVE",M,0.0,0.0,0.0,,0,0,0.0,1.0,41,0.0,0.0,0,2.0,2.0,2.0,0,17,0.0,0.0,,FA,0,0,,,,,0,0.0,0.0,0.0,1,0
EVE,"Barry, Gareth",0.0,0,0.0,0.0,0,0.0,0,0,2,0,0,0,90,0.0,0,0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5,4,0.0,0.0,0.0,6,0,2.0,2,2,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,0.0,0.0,,2.0,,0,1,1,0.0,,,0.0,2,1,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,12.0,11.0,100,90.0,0,"Barry, Gareth - EVE",M,0.0,0.0,0.0,,0,0,0.0,1.0,28,0.0,0.0,0,1.0,1.0,1.0,0,17,0.0,0.0,,FA,0,0,,,,,0,0.0,1.0,1.0,1,0
MCI,Yaya Touré,0.0,0,0.0,0.0,0,0.0,0,0,1,0,0,0,88,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,5,0,0.0,4,0,0.0,0.0,0.0,1.0,1,1.0,1,1.0,1.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,0,0,0,89,,0.0,0.0,0.0,1.0,0,,1.0,,0.0,,17.0,17.0,98,89.8,0,Yaya Touré - MCI,M,1.0,1.0,1.0,,0,0,0.4,2.0,26,2.0,0.0,0,5.0,5.1,5.0,0,5,2.0,2.0,,FA,1,0,,,,,0,0.0,2.0,0.0,1,0
MCI,"Sagna, Bacary",0.0,0,0.0,0.0,0,1.0,0,0,1,0,0,0,82,0.0,0,2,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,2.0,2,0,0.0,5,0,0.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,1,1.0,0.0,,0.0,,0,1,1,0.0,,,0.0,0,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,12.0,12.0,91,90.1,0,"Sagna, Bacary - MCI",D,0.0,0.0,0.0,,0,0,0.0,0.0,28,0.0,0.0,0,0.0,0.0,0.0,5,5,0.0,0.0,,FA,0,0,,,,,0,0.0,1.0,0.0,1,0
SWA,"Shelvey, Jonjo",0.0,0,0.0,0.0,0,1.0,0,0,0,0,0,0,71,0.0,0,1,1,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,5.0,6,0,0.0,3,0,0.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,3,0.0,0.0,,3.0,,0,1,1,0.0,,,0.0,3,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,17.0,17.0,83,85.5,0,"Shelvey, Jonjo - SWA",M,0.0,0.0,0.0,,0,0,0.0,0.0,20,0.0,0.0,0,1.0,1.0,1.0,0,14,0.0,0.0,,FA,0,0,,,,,0,0.0,0.0,0.0,0,0
EVE,"McCarthy, James",0.0,1,1.0,1.0,0,0.0,0,0,1,0,0,0,77,0.0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,4,0,0.0,2,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2,0.0,0.0,,2.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,11.0,11.0,87,88.5,0,"McCarthy, James - EVE",M,1.0,1.0,1.0,,0,0,0.0,0.0,20,0.0,0.0,0,0.0,0.0,0.0,0,17,0.0,0.0,,FA,0,0,,,,,0,0.0,1.0,1.0,1,0
MCI,"Otamendi, Nicolás",0.0,0,0.0,0.0,0,0.0,0,0,4,0,0,0,64,0.0,0,1,5,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9,7,0.0,0.0,1.0,6,0,0.0,12,0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,1.0,1,1.0,0.0,,0.0,,0,1,1,0.0,,,0.0,0,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,9.0,7.0,70,91.4,0,"Otamendi, Nicolás - MCI",D,1.0,1.0,1.0,,0,0,1.0,0.0,8,2.0,0.0,0,2.0,2.0,2.0,5,5,2.0,2.0,,WW,0,0,,,,,0,0.0,6.0,5.0,1,0
TOT,Dele Alli,0.0,0,0.0,0.0,0,0.0,0,0,3,0,0,0,50,0.0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4,3,5.0,1.0,1.0,11,0,0.0,7,0,0.0,0.0,0.0,0.0,2,2.0,1,1.0,1.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,3,0,0,89,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,21.0,20.0,60,83.3,0,Dele Alli - TOT,M,1.0,1.0,1.0,,0,0,0.5,1.0,12,1.0,0.0,0,2.0,2.0,2.0,0,13,1.0,1.0,,FA,1,0,,,,,0,0.0,2.0,2.0,1,0
LIV,"Leiva, Lucas",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,60,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,0.0,9,0,9.0,8,6,6.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,17.0,17.0,73,82.2,0,"Leiva, Lucas - LIV",M,0.0,0.0,0.0,,0,0,0.5,1.0,12,1.0,0.0,0,2.0,2.0,2.0,0,8,1.0,1.0,,FA,0,0,,,,,0,0.0,5.0,2.0,1,1
